Symbol,Description,Price,Price - Currency,"Price change %, 1 month","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
360ONE,360 One Wam Limited,1073,INR,-8.680851063829788,738050,0.7322730975335577,437724681519,INR,35.68340538742933,30.07,INR,13.25800376647834,1.11731843575419,Finance,Strong buy
ABB,ABB India Limited,7052.5,INR,-7.6716632846763115,80574,0.45324679488802144,1507728059464,INR,50.018865676384145,140.9968,INR,66.43212189245882,0.553197470133521,Producer manufacturing,Sell
ABCAPITAL,Aditya Birla Capital Ltd.,390,INR,-4.738641914997553,2752305,1.1234957255153446,1067279112901.0001,INR,25.1937984496124,15.48,INR,19.536679536679546,0,Finance,Strong buy
ADANIENSOL,Adani Energy Solutions Ltd,1338.5,INR,-5.566530266685486,1534753,1.0827239708657346,1642427850220,INR,55.08230452674897,24.3,INR,21.81428084457902,0,Utilities,Buy
ADANIENT,Adani Enterprises Limited,2916.5,INR,2.0076247770277393,570504,0.48306220510550424,3952016113281,INR,46.76268797670604,62.3681,INR,16.005185703231952,0.0445205479452055,Distribution services,Strong buy
ADANIGREEN,Adani Green Energy Limited,1296.6,INR,6.724833319614768,972126,0.8694103023036118,2108385468750,INR,119.71525386170791,10.8307,INR,3.282315357841041,0,Utilities,Buy
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,1788,INR,12.234009164522007,895306,0.4966066181415788,4111645147267,INR,30.51428863991262,58.5955,INR,12.071570652589706,0.420262243640031,Transportation,Strong buy
ADANIPOWER,Adani Power Limited,202.75,INR,2.398989898989899,16171228,1.1046634419865733,3849224912236,INR,27.42867192467431,7.3919,INR,14.85953135682764,0,Utilities,Strong buy
ALKEM,Alkem Laboratories Ltd.,5274,INR,-1.0413734871939206,28742,0.15243289627276058,637281463013,INR,29.258875025658384,180.253,INR,-5.663399002377614,0.99437148217636,Health technology,Buy
AMBER,Amber Enterprises India Ltd.,6960,INR,-8.661417322834646,99885,0.9716307365463895,243700256462,INR,256.78203411216504,27.1047,INR,-66.47947069008163,0,Producer manufacturing,Buy
